ASSET ID,LOCATION,LOCATION DESCRIPTION,BBQ TYPE,Location 1,LATITUDE,LONGITUDE
BBQ159,Paddys River (Rural Dist.),Thompsons Flat Picnic Area,Wood,"(-35.326293, 148.938376)",-35.326293,148.938376
BBQ362,Tennent (Rural Dist.),Honeysuckle Campground,Wood,"(-35.582929, 148.974561)",-35.582929,148.974561
BBQ154,Paddys River (Rural Dist.),Sheedys Picnic Area - Shelter,Electric,"(-35.443399, 148.929316)",-35.443399,148.929316
BBQ418,Googong (Rural Dist.),Googong Boat Ramp,Gas,"(-35.430255, 149.258419)",-35.430255,149.258419
BBQ292,Googong (Rural Dist.),Googong North,Gas,"(-35.410449, 149.260947)",-35.410449,149.260947
BBQ472,Rendezvous Creek (Rural Dist.),"Namadgi National Park, Orroral Campground",Wood,"(-35.66211, 148.988476)",-35.66211,148.988476
BBQ276,Paddys River (Rural Dist.),Sheedys Picnic Area,Wood,"(-35.44442, 148.928723)",-35.44442,148.928723
BBQ447,Paddys River (Rural Dist.),Sheedys Picnic Area - Shelter,Electric,"(-35.44339, 148.929281)",-35.44339,148.929281
BBQ410,Paddys River (Rural Dist.),Webbs Picnic Area,Electric,"(-35.441743, 148.92605)",-35.441743,148.92605
BBQ480,Mount Clear (Rural Dist.),Mt Clear Campground,Wood,"(-35.864774, 149.010724)",-35.864774,149.010724
BBQ271,Paddys River (Rural Dist.),Woods Reserve Campground,Gas,"(-35.480617, 148.938593)",-35.480617,148.938593
BBQ415,Paddys River (Rural Dist.),Flints Picnic Area,Gas,"(-35.459077, 148.919444)",-35.459077,148.919444
BBQ141,Tennent (Rural Dist.),Honeysuckle Campground,Wood,"(-35.583036, 148.974264)",-35.583036,148.974264
BBQ408,Paddys River (Rural Dist.),Sheedys Picnic Area - Shelter,Electric,"(-35.443385, 148.929269)",-35.443385,148.929269
BBQ183,Paddys River (Rural Dist.),The Cotter Avenue,Electric,"(-35.322984, 148.941978)",-35.322984,148.941978
BBQ234,Rendezvous Creek (Rural Dist.),Orroral Picnic Area,Wood,"(-35.665194, 148.988965)",-35.665194,148.988965
BBQ414,Paddys River (Rural Dist.),Sheedys Picnic Area,Wood,"(-35.444374, 148.929638)",-35.444374,148.929638
BBQ295,Tennent (Rural Dist.),Honeysuckle Campground,Wood,"(-35.582803, 148.974072)",-35.582803,148.974072
BBQ297,Paddys River (Rural Dist.),Woods Reserve Campground,Wood,"(-35.481086, 148.940357)",-35.481086,148.940357
BBQ471,Rendezvous Creek (Rural Dist.),"Namadgi National Park, Orroral Campground",Wood,"(-35.661556, 148.989135)",-35.661556,148.989135
BBQ342,Paddys River (Rural Dist.),Woods Reserve Campground,Wood,"(-35.481283, 148.939596)",-35.481283,148.939596
BBQ147,Mount Clear (Rural Dist.),Mt Clear Campground,Wood,"(-35.865319, 149.010804)",-35.865319,149.010804
BBQ321,Paddys River (Rural Dist.),The Cotter Avenue,Electric,"(-35.32371, 148.940972)",-35.32371,148.940972
BBQ298,Paddys River (Rural Dist.),Woods Reserve Campground,Wood,"(-35.481069, 148.94005)",-35.481069,148.94005
BBQ340,Booth (Rural Dist.),Namadgi National Park Glendale Picnic Area,Wood,"(-35.680989, 148.997976)",-35.680989,148.997976
BBQ270,Paddys River (Rural Dist.),Woods Reserve Campground,Wood,"(-35.480862, 148.940782)",-35.480862,148.940782
BBQ236,Googong (Rural Dist.),Googong South,Electric,"(-35.511813, 149.257675)",-35.511813,149.257675
BBQ153,Paddys River (Rural Dist.),Sheedys Picnic Area,Wood,"(-35.444665, 148.929726)",-35.444665,148.929726
BBQ278,Paddys River (Rural Dist.),Webbs Picnic Area,Wood,"(-35.440203, 148.926942)",-35.440203,148.926942
BBQ450,Paddys River (Rural Dist.),Sheedys Picnic Area,Wood,"(-35.444528, 148.92855)",-35.444528,148.92855
BBQ294,Paddys River (Rural Dist.),Woods Reserve Campground,Wood,"(-35.481066, 148.940249)",-35.481066,148.940249
BBQ467,Rendezvous Creek (Rural Dist.),"Namadgi National Park, Orroral Campground",Wood,"(-35.662031, 148.988251)",-35.662031,148.988251
BBQ465,Rendezvous Creek (Rural Dist.),"Namadgi National Park, Orroral Campground",Wood,"(-35.662465, 148.988578)",-35.662465,148.988578
BBQ300,Paddys River (Rural Dist.),Sheedys Picnic Area,Wood,"(-35.444602, 148.928535)",-35.444602,148.928535
BBQ180,Googong (Rural Dist.),Googong North,Gas,"(-35.410105, 149.261399)",-35.410105,149.261399
BBQ167,Booth (Rural Dist.),Namadgi National Park Glendale Picnic Area,Wood,"(-35.680995, 148.997729)",-35.680995,148.997729
BBQ446,Paddys River (Rural Dist.),Sheedys Picnic Area - Shelter,Electric,"(-35.443395, 148.929302)",-35.443395,148.929302
BBQ421,Paddys River (Rural Dist.),Woods Reserve Campground,Wood,"(-35.481102, 148.938774)",-35.481102,148.938774
BBQ226,Paddys River (Rural Dist.),Greens Picnic Area,Wood,"(-35.443219, 148.926005)",-35.443219,148.926005
BBQ460,Rendezvous Creek (Rural Dist.),"Namadgi National Park, Orroral Campground",Wood,"(-35.662797, 148.988532)",-35.662797,148.988532
BBQ222,Cotter River (Rural Dist.),Bulls Head Shelter,Wood,"(-35.387776, 148.804514)",-35.387776,148.804514
BBQ452,Molonglo Valley (Rural Dist.),National Arboretum Of Canberra,Electric,"(-35.287042, 149.076843)",-35.287042,149.076843
BBQ231,Mount Clear (Rural Dist.),Mt Clear Campground,Wood,"(-35.864617, 149.010606)",-35.864617,149.010606
BBQ469,Rendezvous Creek (Rural Dist.),"Namadgi National Park, Orroral Campground",Wood,"(-35.661711, 148.9892)",-35.661711,148.9892
BBQ259,Paddys River (Rural Dist.),The Cotter Avenue,Electric,"(-35.324165, 148.941035)",-35.324165,148.941035
BBQ466,Rendezvous Creek (Rural Dist.),"Namadgi National Park, Orroral Campground",Wood,"(-35.662549, 148.988388)",-35.662549,148.988388
BBQ481,Mount Clear (Rural Dist.),Mount Clear Campground,Wood,"(-35.864781, 149.010409)",-35.864781,149.010409
BBQ149,Paddys River (Rural Dist.),Murrays Corner,Gas,"(-35.363195, 148.952178)",-35.363195,148.952178
BBQ372,Rendezvous Creek (Rural Dist.),Orroral Tracking Station,Gas,"(-35.628721, 148.955743)",-35.628721,148.955743
BBQ366,Paddys River (Rural Dist.),The Cotter Avenue,Electric,"(-35.323015, 148.94115)",-35.323015,148.94115
BBQ405,Paddys River (Rural Dist.),Sheedys Picnic Area,Electric,"(-35.443821, 148.929224)",-35.443821,148.929224
BBQ225,Paddys River (Rural Dist.),Blewitts Picnic Area,Wood,"(-35.444424, 148.924121)",-35.444424,148.924121
BBQ412,Paddys River (Rural Dist.),Webbs Picnic Area,Electric,"(-35.440621, 148.926681)",-35.440621,148.926681
BBQ181,Paddys River (Rural Dist.),The Cotter Avenue,Electric,"(-35.323233, 148.941452)",-35.323233,148.941452
BBQ449,Paddys River (Rural Dist.),Discovery Picnic Area,Electric,"(-35.442681, 148.930129)",-35.442681,148.930129
BBQ224,Cotter River (Rural Dist.),Bendora Picnic Area,Wood,"(-35.442303, 148.828301)",-35.442303,148.828301
BBQ364,Tennent (Rural Dist.),Honeysuckle Campground,Wood,"(-35.582758, 148.97424)",-35.582758,148.97424
BBQ206,Paddys River (Rural Dist.),The Cotter Avenue,Electric,"(-35.322757, 148.942197)",-35.322757,148.942197
BBQ299,Paddys River (Rural Dist.),Woods Reserve Campground,Wood,"(-35.480865, 148.93995)",-35.480865,148.93995
BBQ152,Cotter River (Rural Dist.),Bendora Picnic Area,Wood,"(-35.442386, 148.82795)",-35.442386,148.82795
BBQ146,Mount Clear (Rural Dist.),Mt Clear Campground,Wood,"(-35.865138, 149.010922)",-35.865138,149.010922
BBQ470,Rendezvous Creek (Rural Dist.),"Namadgi National Park, Orroral Campground",Wood,"(-35.66144, 148.988788)",-35.66144,148.988788
BBQ344,Cotter River (Rural Dist.),Bendora Picnic Area,Wood,"(-35.44251, 148.828318)",-35.44251,148.828318
BBQ484,Acton,Black Mountain Peninsula District Park,Electric,"(-35.292389, 149.101107)",-35.292389,149.101107
BBQ485,Acton,Black Mountain Peninsula District Park,Electric,"(-35.292454, 149.10111)",-35.292454,149.10111
BBQ497,Gungahlin,Yerrabi District Park,Electric,"(-35.178801, 149.130774)",-35.178801,149.130774
BBQ33,Belconnen,Lake Ginninderra Western Foreshores,Electric,"(-35.225626, 149.063247)",-35.225626,149.063247
BBQ288,Googong (Rural Dist.),Googong - Tin Hut,Gas,"(-35.497275, 149.258909)",-35.497275,149.258909
BBQ6,Fisher,Araluen Street Neighbourhood Park,Electric,"(-35.360683, 149.057338)",-35.360683,149.057338
BBQ371,New South Wales,Bulls Head Picnic Area,Wood,"(-35.386788, 148.804498)",-35.386788,148.804498
BBQ394,Canberra Central (Rural Dist.),Lady Denman Drive Road Verge,Gas,"(-35.297903, 149.071927)",-35.297903,149.071927
BBQ417,Coree (Rural Dist.),Cotter Campground,Gas,"(-35.325396, 148.948537)",-35.325396,148.948537
BBQ305,New South Wales,Bulls Head Picnic Area,Wood,"(-35.387256, 148.804313)",-35.387256,148.804313
BBQ338,New South Wales,Bulls Head Picnic Area,Wood,"(-35.387149, 148.804459)",-35.387149,148.804459
BBQ50,Belconnen (Rural Dist.),Palmerville Heritage Park,Electric,"(-35.211746, 149.085572)",-35.211746,149.085572
BBQ339,New South Wales,Bulls Head Picnic Area,Wood,"(-35.387667, 148.804038)",-35.387667,148.804038
BBQ488,Coree (Rural Dist.),Blue Range Hut,Wood,"(-35.289676, 148.876109)",-35.289676,148.876109
BBQ500,Coree (Rural Dist.),Blue Range Hut,Wood,"(-35.290036, 148.875975)",-35.290036,148.875975
BBQ501,Coree (Rural Dist.),Sherwood Homestead,Wood,"(-35.273249, 148.892002)",-35.273249,148.892002
BBQ499,Coree (Rural Dist.),Blue Range Hut,Wood,"(-35.289299, 148.875879)",-35.289299,148.875879
BBQ498,Coree (Rural Dist.),Blue Range Hut,Wood,"(-35.289079, 148.875874)",-35.289079,148.875874
BBQ442,Acton,Acton Park District Park,Electric,"(-35.286194, 149.124418)",-35.286194,149.124418
BBQ441,Acton,Acton Park District Park,Electric,"(-35.28631, 149.124752)",-35.28631,149.124752
